End probability,Mutation probability,Best fitness,Average fitness,Number of generations,Tournament size,Tournament winners,Nodes to add,Population size,Time
0.6490035903563294,0.8060904074507999,602.0,573.3333333333334,1020,376,21,781,792,77.906
0.2571201418879349,0.509376437465826,596.0,551.8466257668712,1885,95,40,977,326,172.05
0.6880125782956187,0.9550902585188921,576.0,544.9052631578948,380,95,5,979,190,7.242
0.9014486820577634,0.39024594381634503,808.0,793.573566084788,98,265,27,791,802,5.305
0.2667055597035025,0.7747261044884859,630.0,609.695,135,31,2,345,200,3.008
0.2631525235154717,0.1616031382865617,662.0,648.7654867256637,1301,60,15,172,226,20.031
0.9987905506756072,0.04004035935436667,1072.0,1071.9753289473683,1789,168,31,817,608,59.308
0.4222864768805251,0.8365252026869675,583.0,550.546511627907,1495,53,10,1039,172,45.923
0.3477334438075491,0.44505756544092,603.0,569.7411575562701,82,175,26,835,622,9.314
0.7115303278909475,0.9040991579496945,590.0,546.2070484581498,713,32,16,1033,454,31.896
0.458676665886513,0.03165444366915071,1021.0,1015.75,1699,61,15,123,236,17.229
0.5185855038672718,0.10757248410528297,634.0,610.2146974063401,1075,180,30,686,694,76.97
0.2867405879697593,0.3558487371139091,659.0,641.7421383647799,491,218,32,206,636,23.301
0.21677527604455862,0.3906098603752298,588.0,558.3059701492538,84,75,34,1115,268,8.251
0.8288556991657448,0.1247826360739529,673.0,657.8052631578947,771,65,16,1083,190,12.694
0.8342426080114793,0.231399058831128,659.0,643.1396396396397,952,107,9,1082,222,18.178
0.2509504683602174,0.6278244297179711,602.0,570.5482954545455,39,169,45,947,352,3.713
0.5514121015932876,0.17044218332216776,616.0,597.5407608695652,1997,101,45,436,368,52.32
0.6928136824643973,0.9069445611663803,637.0,597.4961832061068,28,96,47,1145,524,1.659
0.17574575177424467,0.7392042279084827,840.0,834.1915422885572,250,101,48,36,402,4.377
0.9166632434295668,0.4431850929856104,860.0,845.6470588235294,307,4,1,367,272,3.939
0.16441395696738959,0.6507588879750577,590.0,558.025,457,66,9,857,280,47.455
0.5229709624344749,0.471865581933239,602.0,563.6060606060606,1037,31,8,1280,66,12.034
0.5662193878496354,0.5636489583476494,590.0,556.0021739130435,343,147,33,1138,460,22.528
0.7992380431202556,0.847428175760777,627.0,605.7814371257485,1381,97,2,574,334,28.1
0.38836158817483146,0.6164682969036767,581.0,550.457249070632,1998,236,2,590,538,136.339
0.24537262331113785,0.7257396779074332,622.0,578.2987987987988,1745,44,20,1284,666,422.365
0.19978281974461368,0.6098386681237586,591.0,553.9723404255319,1536,30,15,823,470,215.684
0.1713014277388783,0.8624098841750936,590.0,564.9466666666667,929,61,26,523,150,30.98
0.8985237138941476,0.9953315465057282,629.0,604.8626198083067,1392,91,9,762,626,54.476
0.6244552385535003,0.15018678082183679,640.0,621.75,1848,114,17,570,256,36.109
0.4748311610741698,0.3572927029701103,597.0,565.0440677966102,1159,217,12,872,590,94.401
0.3395358162645119,0.7559385294595522,589.0,558.7924528301887,167,33,11,1231,106,4.529
0.1876398156119968,0.12507994269025569,583.0,558.8,1660,16,7,1284,50,38.562
0.5902693257476425,0.6099116027907115,614.0,593.8543689320388,1937,193,34,375,412,49.589
0.4100007464661236,0.3361521505056375,631.0,607.9277108433735,228,30,2,443,166,3.6
0.5058548258290232,0.40984402048645163,609.0,584.0842105263158,1145,27,7,535,760,78.941
0.4736412953154312,0.5817234236093112,582.0,552.9473684210526,254,17,6,719,342,10.416
0.46135781344696936,0.5707851038230795,847.0,839.6846846846847,35,84,10,82,222,0.349
0.8263021692891174,0.18799218484545144,731.0,718.3410852713179,1124,77,16,476,258,15.841
0.665334329488107,0.08983023639902954,634.0,612.3947368421053,1562,16,5,925,38,5.904
0.7377654650556043,0.731215859744495,593.0,567.7391304347826,704,11,4,679,276,13.943
0.9756717448277505,0.9514341926430531,796.0,778.6405228758169,1707,138,65,377,612,44.178
0.4733989694438898,0.15855723149760015,892.0,879.9941860465116,289,23,3,135,516,7.063
0.31110492655241756,0.8365280737459337,614.0,571.3210382513661,1025,336,152,867,732,155.787
0.3471521456599228,0.09073411509260032,611.0,586.707264957265,1328,28,9,515,468,74.259
0.962500966057223,0.2850423122776017,737.0,727.875,1503,2,1,730,40,3.417
0.9045149511828867,0.742344701241843,751.0,739.6891191709844,1992,101,29,201,386,26.639
0.9870957745548928,0.9736905205888993,953.0,944.1844660194175,556,67,24,426,618,15.946
0.4870079358878011,0.5546587857633081,623.0,611.0350877192982,1102,41,3,231,114,6.964
0.7511252964739958,0.5751598985325281,589.0,550.3739495798319,1952,7,2,1051,714,132.147
0.3497347722267813,0.10117392517829205,1044.0,1040.8702127659574,522,41,3,29,470,8.034
0.8185300423077847,0.4376966583087345,800.0,789.6701570680628,689,147,12,276,382,11.518
0.9514970003607931,0.7306700633845695,685.0,668.2439024390244,721,94,7,1195,328,18.084
0.40761623871668884,0.23775009871757224,669.0,656.0637450199204,1773,213,11,220,502,53.217
0.9203213623865131,0.18275914546769478,1068.0,1066.4327217125383,578,161,20,146,654,11.779
0.8892923759597288,0.3593719077617483,895.0,888.0136363636364,704,46,5,304,220,6.482
0.3716723200212505,0.4230791194425625,583.0,549.2058823529412,548,59,3,1120,204,24.861
0.4334693368719714,0.5199291091800955,594.0,566.2364864864865,772,58,10,1294,148,24.815
0.7604384588642878,0.8710557327105736,941.0,935.0702479338843,1710,93,20,45,484,22.231
0.9355113598987882,0.42712794723227776,740.0,722.5876865671642,1028,233,28,787,536,35.289
0.7707811361640329,0.526608460757386,874.0,864.8450704225352,562,111,5,154,426,9.317
0.19720228985388003,0.35300284517410885,583.0,550.5905172413793,260,24,3,943,232,20.554
0.7676988570024332,0.2860872383771589,594.0,578.2764705882353,1421,66,21,885,170,19.207
0.48812091085218967,0.3977405938940394,626.0,610.828947368421,279,48,18,282,152,2.666
0.44822628169039547,0.790447675674013,580.0,550.5576923076923,1835,12,5,1234,52,18.454
0.7990524945041056,0.45317959783524586,588.0,557.337037037037,1917,57,24,1113,270,46.355
0.9201521348906633,0.623532256592528,706.0,692.5737704918033,918,38,6,492,122,5.601
0.5798879542922061,0.8315057577031675,613.0,591.9122807017544,1637,292,78,375,798,81.115
0.7701886175297838,0.5688028176720994,597.0,563.6205533596838,401,100,45,1015,506,18.011
0.9959446958641467,0.7381026411637129,1008.0,1007.3888888888889,344,31,2,371,108,1.482
0.3466023041001844,0.8681253412640423,592.0,556.2804568527919,513,312,34,1034,788,85.113
0.756929206858806,0.861458641286354,722.0,704.9446808510638,104,68,28,357,470,2.603
0.5175393183397174,0.48270862191839126,598.0,557.5364741641338,1731,169,67,1189,658,187.033
0.7681233201849624,0.5320748590150572,590.0,558.4642857142857,338,90,45,1169,308,10.345
0.4259620021061401,0.8426003029974578,635.0,619.434065934066,436,17,6,196,546,13.057
0.30250382821056687,0.9768467631198071,594.0,559.3479899497487,322,332,7,1081,796,63.784
0.21610588422433902,0.024093887124466584,610.0,586.7810218978102,228,29,9,1236,274,23.913
0.15456398168935198,0.22914031128961898,577.0,542.574074074074,403,4,1,785,54,7.805
0.22319147029388808,0.4562976225519453,598.0,567.9941176470588,1195,59,7,835,340,111.927
0.834682533370412,0.3397778563125079,644.0,619.1515151515151,505,90,10,1244,330,15.59
0.49478808120284623,0.38561102047439555,605.0,584.8323353293413,1849,267,118,430,668,99.857
0.2834552047710247,0.8532718534631409,600.0,564.042372881356,1037,154,3,890,708,164.318
0.20725539855478284,0.6136154732181814,595.0,559.5394736842105,819,5,1,849,76,18.458
0.5760870736908846,0.7572084739167471,630.0,610.0882352941177,1452,87,18,296,442,35.674
0.6784235314261486,3.220711952819366E-4,1047.0,1046.972,1101,120,7,539,250,18.161
0.5487956481429268,0.47164188125800566,596.0,569.9945454545455,944,246,40,690,550,52.502
0.5755069791300808,0.029276646089944625,719.0,706.4723502304147,1029,80,12,1153,434,63.018
0.3264006324467741,0.8101124864761848,621.0,581.497005988024,1203,134,46,1272,668,224.047
0.4829275761109302,0.42885552051582587,584.0,556.5942408376964,162,26,5,818,382,8.134
0.829257440701692,0.49379960558232117,627.0,602.5,777,199,29,1253,558,41.935
0.3485576380408786,0.5001068761414001,591.0,556.596525096525,555,14,2,748,518,47.781
0.9388110101549296,0.7753083255545912,973.0,965.8866995073892,228,171,23,177,406,3.225
0.9741119138861362,0.7961206019610484,715.0,697.0121212121212,485,8,2,1106,330,11.397
0.39085656087222376,0.23064723515439334,606.0,573.7262295081968,1338,289,16,1226,610,181.452
0.6766226034478428,0.9049928080602352,598.0,561.9153439153439,162,156,63,950,756,12.336
0.6434123689236423,0.3561962140473435,596.0,570.0317258883249,1729,359,112,625,788,111.684
0.7010354613925689,0.11622063241929204,927.0,926.5145348837209,142,23,2,19,688,2.399
0.23823221927425228,0.5371228698392576,596.0,568.4959016393443,644,12,3,509,488,52.874
0.20868999994869455,0.0773579084043503,596.0,576.34,1836,16,1,584,100,37.303
0.16120949784149302,0.12534792728873279,640.0,622.8549783549784,1135,44,18,258,462,68.386
0.4428560958460165,0.6671015381054479,591.0,552.0708333333333,1443,56,17,742,240,44.791
0.21821487178367682,0.1568139144362819,598.0,573.840206185567,448,22,4,680,194,19.908
0.39781962676779425,0.5274293830898685,920.0,919.175,432,8,4,7,40,0.504
0.2655035896427761,0.24891877798043638,590.0,556.2364217252397,465,248,39,756,626,62.349
0.1513080716160095,0.4030906452504254,616.0,573.8177570093458,1559,37,16,1264,642,588.493
0.8442555488167093,0.4013152010799165,760.0,755.5625,1390,3,1,128,16,0.753
0.722139015365916,0.9224659580214128,601.0,568.9381868131868,608,121,49,1267,728,50.869
0.3557533783235321,0.05025098790599403,598.0,572.5816831683169,1202,122,38,1227,404,114.727
0.3412868446260191,0.9943290851002777,582.0,557.384892086331,1540,48,6,800,556,148.878
0.8467561654074419,0.7986155852914301,1057.0,1056.6640625,1764,55,5,6,128,5.033
0.22140843219168377,0.9777952779354039,594.0,562.4675324675325,518,55,15,493,154,13.649
0.38657465496947163,0.3334760044148266,580.0,557.1041666666666,1473,7,2,494,48,7.616
0.3800199688315282,0.9308149292417703,915.0,911.3264462809917,721,80,31,21,242,5.356
0.7555921721708496,0.2403685331451938,916.0,910.375,535,15,3,125,48,0.896
0.282638768210846,0.5139147021150239,604.0,571.7951219512195,1835,165,60,758,410,152.435
0.9193424465906231,0.948686737231785,632.0,592.5551181102362,230,303,126,1282,762,14.883
0.202159855216328,0.652108033382268,598.0,557.1646706586827,1857,66,4,847,334,186.599
0.6905261267476075,0.24543134286277735,688.0,674.4346405228758,1527,160,59,248,612,42.587
0.6364656841297014,0.5171126052513704,592.0,560.7380952380952,548,215,95,1079,504,32.902
0.680277723222143,0.6752565126151534,586.0,557.0287081339712,163,20,4,1053,418,7.316
0.34835371889999917,0.4915867543315857,604.0,584.5072463768116,778,102,33,361,276,20.178
0.6487985412418679,0.17501715637497228,634.0,611.2532894736842,916,235,49,652,608,44.658
0.7246412416165628,0.053262646507233335,774.0,761.6888020833334,796,66,13,826,768,55.255
0.3902264985408267,0.2316658745008734,643.0,626.1615384615385,421,4,1,262,390,11.242
0.5287112567226945,0.43949781483030803,606.0,577.6483516483516,1566,61,18,685,728,118.43
0.748130752262654,0.4122986240427102,686.0,668.3894080996885,1902,43,3,300,642,57.344
0.2509602555365547,0.35495205765265836,829.0,821.2803738317757,808,25,10,39,214,6.244
0.7922697236751214,0.7069272038945511,601.0,572.196,569,128,58,782,500,20.999
0.17866603395769431,0.11803675227592836,867.0,861.6689008042896,1929,331,153,34,746,54.989
0.9665248230871788,0.6260560359895935,734.0,727.7333333333333,1002,25,1,942,60,3.83
