End probability,Mutation probability,Best fitness,Average fitness,Number of generations,Tournament size,Tournament winners,Nodes to add,Population size,Time
0.8855867407936734,0.6873720801336097,646.0,619.6207430340557,1482,121,9,1290,646,84.829
0.3124421289055409,0.33415887531552746,594.0,557.6901763224181,91,288,127,1052,794,17.502
0.9823577549079113,0.6635949818600394,993.0,991.0471204188482,375,24,9,123,382,4.156
0.9365878064777986,0.6343289011784253,714.0,695.3502906976744,384,86,7,939,688,17.986
0.6405088144883363,0.1329938463863667,691.0,675.7850467289719,1301,214,95,293,642,42.827
0.7311956923743728,0.690468655440445,593.0,562.4244372990354,1448,201,52,1012,622,85.301
0.6304759926378963,0.3684947635311957,594.0,560.1341463414634,352,137,49,785,328,10.99
0.9432953981791135,0.07098456927176078,1114.0,1110.99,1745,64,3,874,300,32.843
0.8006846567756282,0.9816727219543865,614.0,595.594298245614,1833,6,3,356,456,39.043
0.682735987125333,0.7741015568502749,596.0,566.8408239700375,1205,140,38,646,534,49.568
0.7739113798383326,0.3425106335411704,599.0,573.963190184049,1427,116,38,1092,326,43.11
0.5169487119673215,0.9272619294378812,595.0,559.3816666666667,597,279,86,1057,600,52.013
0.6673316042634124,0.31228757678885444,605.0,585.3979933110368,604,118,58,496,598,24.264
0.991308057831004,0.16045089294389547,1095.0,1094.3777777777777,1753,71,3,553,180,14.168
0.38824497778660494,0.21188100119386022,733.0,704.5277777777778,27,18,7,538,504,1.585
0.3820298622834787,0.12390880886933398,926.0,919.5655172413793,562,122,37,60,290,5.926
0.6022764920624847,0.7732747673168686,676.0,645.9774011299435,37,94,20,621,354,1.171
0.8571430963450714,0.5193163215055411,647.0,612.7423469387755,1829,151,19,889,784,103.468
0.6845430130531087,0.03210124555758975,931.0,928.0,274,48,24,135,204,1.977
0.3523478814194141,0.9903612995761933,603.0,567.0970588235294,1736,247,105,688,680,173.062
0.6428721278442519,0.7595296275224069,652.0,637.5652920962199,1637,262,46,223,582,43.016
0.19573085471294727,0.1486287071413448,604.0,565.8766233766233,419,157,39,1211,770,136.361
0.20986341989137505,0.40544563186541716,578.0,549.8986486486486,417,2,1,768,148,16.599
0.26055991635576814,0.9489864667899951,593.0,557.5348101265823,56,3,1,920,316,4.341
0.8677768572898821,0.7173164667426065,649.0,615.0388127853881,147,35,15,821,438,4.528
0.666897753655845,0.07229163303136465,708.0,696.375,1979,59,1,884,216,40.888
0.3728564626804196,0.9728947838268519,609.0,566.8474576271186,1248,34,9,1282,118,34.808
0.9182869105282434,0.7788296917817854,844.0,834.2441860465116,29,108,9,89,344,0.31
0.4239993570311449,0.3403720082117978,956.0,951.6801619433198,292,188,42,25,494,5.209
0.6507940422567198,0.40497496150967816,654.0,634.9915966386554,850,44,5,409,714,37.606
0.44066755589397966,0.40408352726744845,597.0,564.5,1072,5,1,1279,36,8.025
0.7617045231522915,0.6593007763494645,684.0,647.7225130890052,34,185,57,975,382,1.201
0.28367432097954015,0.930751375640194,642.0,628.2222222222222,1381,303,142,132,774,58.931
0.23617794112558607,0.613426564301247,628.0,607.9231738035264,940,171,20,296,794,81.372
0.7686236209820538,0.10228636197649044,676.0,654.1465517241379,401,266,100,1188,580,23.458
0.7469240622138068,0.25514976872213113,623.0,602.1399416909621,811,30,3,812,686,45.135
0.47572805746881086,0.24672182859810732,739.0,730.4974160206718,1558,291,67,110,774,47.889
0.9485916542931262,0.5265595706618097,734.0,720.1931818181819,1282,102,12,875,704,57.965
0.29278014414918385,0.641708915229218,584.0,564.4622641509434,770,54,26,406,106,9.452
0.9425848429641456,0.5259007079019535,626.0,605.3648148148148,1343,85,39,1271,540,57.303
0.7181231474772177,0.13485105646219764,955.0,949.421052631579,996,37,8,163,342,12.906
0.6573177679284332,0.25526109636851424,811.0,803.8478260869565,847,57,11,136,184,5.782
0.7619835961186603,0.48196103739546303,792.0,783.09,1061,16,3,111,100,3.4
0.6819145415122791,0.7422327936938891,693.0,669.7272727272727,42,147,39,570,308,0.977
0.8029741210446261,0.11018607734654418,954.0,945.6024096385543,450,97,11,386,332,7.605
0.34695821953341405,0.8832203111159674,560.0,551.2,1988,3,1,304,10,1.707
0.5236027590051148,0.4831822241514484,611.0,586.4333333333333,1452,95,7,522,210,26.044
0.23879198732752882,0.5258465556596897,603.0,563.8,545,43,11,1256,140,28.59
0.27126768542919916,0.6010191926467477,647.0,637.491452991453,1461,85,23,115,234,17.958
0.21257071776408393,0.9533770190437505,603.0,580.5183486238532,1323,77,34,257,436,59.427
0.8192231765724681,0.8516333940656915,582.0,564.7142857142857,707,11,4,620,84,3.689
0.5979354530066634,0.1459831987196375,639.0,622.5730769230769,1222,41,16,391,260,19.933
0.6500029045652578,0.6852613222042605,593.0,555.9971590909091,1002,171,48,1114,352,41.597
0.5934117520426608,0.4877613250107624,674.0,659.6826347305389,1144,142,19,191,334,16.824
0.3703819595875265,0.2595394205810916,667.0,654.2825520833334,1547,127,48,129,768,57.19
0.2367648020641463,0.9934517906173866,583.0,560.3681318681319,907,6,1,517,182,27.293
0.6006159277905043,0.01408311413626806,849.0,839.4806451612903,310,260,117,1082,620,24.797
0.48526545363074136,0.8940681581431217,885.0,881.9924242424242,618,55,17,28,132,2.354
0.9426327019680409,0.337577223656382,1026.0,1020.0402144772117,1919,68,19,183,746,48.532
0.8494291869795387,0.1908648582324064,710.0,698.1923076923077,1618,42,4,871,156,17.99
0.5389350867231347,0.023563799727502444,644.0,632.2647058823529,1881,11,5,1096,68,18.049
0.5922774446983188,0.4984540068474087,593.0,557.0121951219512,1056,135,41,997,492,62.924
0.5099309093429596,0.5697818698572329,587.0,559.6635071090047,1686,158,14,621,422,71.25
0.5432917348923288,0.9055133250608124,791.0,780.5264317180616,178,55,16,111,454,3.264
0.6985140079207709,0.08304971023129104,675.0,659.7870619946092,1343,190,58,701,742,78.528
0.1772687623775259,0.23454315764574596,606.0,574.8278894472362,120,209,80,671,796,26.05
0.8923709606301321,0.8180507601887513,599.0,572.519801980198,1158,23,6,999,202,16.761
0.5563122851265128,0.7192803938885142,601.0,561.087786259542,1029,245,78,1083,524,74.581
0.9679409390890782,0.604340061221166,737.0,708.5474683544304,261,8,4,1234,632,12.728
