Crossover probability,Mutation probability,Best Fitness,Average Fitness,Number of generations
0.9887229130104958,0.3769397664779349,789.0,722.39,2327
0.5812354142853798,0.613615627341152,847.0,785.03,2360
0.849370065589119,0.6553872290352204,865.0,800.84,2029
0.4578906165303026,0.41268915713015675,796.0,732.37,3028
0.3482262359817827,0.9006878310602282,984.0,920.98,828
0.7707654731367296,0.11244289395503382,784.0,701.33,3180
0.08881535139207075,0.9990505293608661,1170.0,1102.16,1279
0.23208343391541497,0.6451489355588071,854.0,795.76,2299
0.794252795783884,0.9362775532725446,1019.0,949.92,2427
0.11883588532742762,0.41401917726718285,798.0,737.14,3946
0.23113877990899645,0.6569583479765247,861.0,798.3,2045
0.32250045445750963,0.8414607130910245,935.0,877.12,1392
0.6119755672570242,0.15691013193147862,794.0,700.19,2052
0.4241390990195364,0.43638760992773584,802.0,735.57,2783
0.25436017320156623,0.6123806990663899,845.0,782.96,3761
0.6681272494090558,0.5689882356579838,840.0,772.71,1532
0.8872603560527645,0.04157377718115596,830.0,770.05,3417
0.7597508886760757,0.3478813593965362,797.0,721.26,2048
0.11785466982723436,0.9901571723017684,1132.0,1054.85,947
0.7011993362911363,0.8148376767309539,923.0,860.17,1269
0.5164053934220056,0.30518212503510267,798.0,715.66,3906
0.19541777696834062,0.9537656435497059,1060.0,991.54,3567
0.9609615296532118,0.31109797526572225,788.0,706.42,2200
0.3129537105180672,0.40516994470877143,794.0,737.11,283
0.14118993650155487,0.22964447127387033,780.0,708.91,2769
0.5914880643806543,0.8545800500328208,942.0,884.93,2576
0.738558812896262,0.8641698296989361,950.0,886.54,3996
0.22356107490719546,0.13747426541157848,803.0,720.69,2485
0.09672712457246535,0.8402073590966216,934.0,880.87,1883
0.1233681394923738,0.7996249084975557,916.0,854.83,2174
